Unnamed: 0,name,station,lat,lon,line,curiosidade
largo-treze,Largo Treze,largo-treze,-23.6544576,-46.7101664,['lilas'],Largo Treze Foi a primeira estação de metrô construída na cidade de São Paulo.
luz,Luz,luz,-23.5360593,-46.6341812,"['amarela', 'azul']",Luz Primeiro metrô do Brasil inaugurado em 1974.
marechal-deodoro,Marechal Deodoro,marechal-deodoro,-23.5339809,-46.6558993,['vermelha'],"Marechal Deodoro Primeira estação do metrô de São Paulo a ser construída, inaugurada em 1974."
moema,Moema,moema,-23.603776,-46.6621333,['lilas'],Moema Não existe uma estação Moema no metrô de São Paulo.
oratorio,Oratorio,oratorio,-23.58213475,-46.5618087904539,['prata'],"Oratorio Oratório foi inaugurada em 2010 e possui um mural de azulejos com fotos antigas do bairro vizinho, Vila Prudente."
oscar-freire,Oscar Freire,oscar-freire,-23.5607503,-46.6720286,['amarela'],"Oscar Freire É a estação de metrô mais profunda de São Paulo, com 39 metros de profundidade."
palmeiras-barra-funda,Palmeiras Barra Funda,palmeiras-barra-funda,-23.5254616,-46.6675134,['vermelha'],Palmeiras Barra Funda É a única estação do metrô de São Paulo que possui integração com o terminal rodoviário.
parada-inglesa,Parada Inglesa,parada-inglesa,-23.4870316,-46.6088003521677,['azul'],Parada Inglesa Possui um mosaico que retrata mapas históricos de diferentes regiões do Reino Unido.
paraiso,Paraiso,paraiso,-23.5753983,-46.6408061,"['azul', 'verde']",Paraiso Existem três linhas de metrô que passam pela estação Paraíso.
patriarca-vila-re,Patriarca Vila Re,patriarca-vila-re,-23.5311445,-46.5036382,['vermelha'],"Patriarca Vila Re Com 41,5 metros de profundidade, é uma das estações mais fundas da cidade."
paulista,Paulista,paulista,-23.5552461,-46.6622682,['amarela'],Paulista A estação Paulista tem o maior vão livre entre plataformas do metrô de São Paulo.
pedro-ii,Pedro II,pedro-ii,-23.5496994,-46.6259819,['vermelha'],"Pedro II Primeira estação de metrô de São Paulo, inaugurada em 1974."
penha,Penha,penha,-23.5334949,-46.5426688,['vermelha'],Penha Primeira estação a utilizar escadas rolantes no metrô de São Paulo.
pinheiros,Pinheiros,pinheiros,-23.567249,-46.7019515,['amarela'],Pinheiros Foi a primeira estação de metrô a ser construída sobre o Rio Pinheiros.
portuguesa-tiete,Portuguesa Tiete,portuguesa-tiete,-23.51614455,-46.6251494423778,['azul'],Portuguesa Tiete Primeira estação de metrô subterrânea de São Paulo inaugurada em 1974.
praca-da-arvore,Praca Da Arvore,praca-da-arvore,-23.6105051,-46.6379193,['azul'],"Praca Da Arvore Aberta em 1985, a estação Praça da Árvore é a única estação do metrô de SP com o nome iniciado por ""P""."
republica,Republica,republica,-23.5440945,-46.642665,"['amarela', 'vermelha']",Republica Esculturas de rostos famosos estão expostas na estação República.
sacoma,Sacoma,sacoma,-23.6012824,-46.6025552,['verde'],Sacoma A estação Sacomã é a única do metrô de SP com plataforma no mesmo nível das portas dos trens.
santa-cecilia,Santa Cecilia,santa-cecilia,-23.5381047,-46.6489997,['vermelha'],Santa Cecilia Estação Santa Cecília do metrô de São Paulo foi inaugurada em 1978.
santa-cruz,Santa Cruz,santa-cruz,-23.5989383,-46.6388672,"['azul', 'lilas']",Santa Cruz Primeira estação de metrô subterrânea da América Latina.
santana,Santana,santana,-23.50258755,-46.6252175408741,['azul'],"Santana A estação Santana é a mais profunda do metrô de São Paulo, com 52 metros de profundidade."
santo-amaro,Santo Amaro,santo-amaro,-23.6562303,-46.7191156,['lilas'],Santo Amaro Projeto da arquiteta Lina Bo Bardi.
santos-imigrantes,Santos Imigrantes,santos-imigrantes,-23.5958959,-46.6207594,['verde'],"Santos Imigrantes Final da linha 2-Verde, Santos-Imigrantes é a estação mais profunda, a 85 metros de profundidade."
santuario-nossa-senhora-de-fatima-sumare,Santuario Nossa Senhora De Fatima Sumare,santuario-nossa-senhora-de-fatima-sumare,-23.5507519,-46.6800962,['verde'],Santuario Nossa Senhora De Fatima Sumare Um fato curioso é que a estação Santuário Nossa Senhora de Fátima Sumaré faz parte da Linha 2-Verde do metrô de São Paulo.
sao-bento,Sao Bento,sao-bento,-23.5443802,-46.6363175,['azul'],Sao Bento Estação com azulejos pintados à mão.
sao-joaquim,Sao Joaquim,sao-joaquim,-23.5613673,-46.6386013,['azul'],Sao Joaquim Estação São Joaquim tem o maior vão livre do metrô de SP com 25 metros.
sao-judas,Sao Judas,sao-judas,-23.6258085,-46.6409209,['azul'],Sao Judas Estação São Judas é uma das profundas: está a 49 metros abaixo do nível da rua.
sao-lucas,Sao Lucas,sao-lucas,-23.58882605,-46.5447248260771,['prata'],Sao Lucas A estação São Lucas foi inaugurada em 2010.
sao-paulo-morumbi,Sao Paulo Morumbi,sao-paulo-morumbi,-23.5861368,-46.7239121,['amarela'],Sao Paulo Morumbi Um dos acessos da estação São Paulo-Morumbi é feito através de uma passarela localizada dentro da Universidade de São Paulo (USP).
saude,Saude,saude,-23.6182458,-46.6391896,['azul'],Saude Primeira estação do metrô com escadas rolantes no Brasil.
se,Se,se,-23.5500992,-46.635515,"['azul', 'vermelha']",Se A estação Sé é a mais movimentada do metrô de São Paulo.
tamanduatei,Tamanduatei,tamanduatei,-23.5927867,-46.5895167,['verde'],Tamanduatei Primeira estação de metrô construída em São Paulo em 1974.
tatuape,Tatuape,tatuape,-23.5402524,-46.5766424,['vermelha'],Tatuape A estação Tatuapé do metrô de SP é uma das mais movimentadas da cidade.
tiradentes,Tiradentes,tiradentes,-23.5311107,-46.6326154,['azul'],Tiradentes É a estação mais profunda do metrô de São Paulo: 40 metros de profundidade.
trianon-masp,Trianon Masp,trianon-masp,-23.5636427,-46.6538374,['verde'],Trianon Masp Primeira estação do metrô de São Paulo inaugurada em 1974.
tucuruvi,Tucuruvi,tucuruvi,-23.48006945,-46.6032409661715,['azul'],"Tucuruvi Foi inaugurada em 1988, sendo a última estação da Linha 1-Azul a ser aberta."
vergueiro,Vergueiro,vergueiro,-23.5685349,-46.6399175,['azul'],Vergueiro Primeira estação de metrô de São Paulo a ter elevadores para acessibilidade.
vila-das-belezas,Vila Das Belezas,vila-das-belezas,-23.6402476,-46.7457694,['lilas'],Vila Das Belezas Curiosidade: A estação Vila das Belezas é a única do Metrô de São Paulo a ter uma escadaria externa com mais de 170 degraus.
vila-madalena,Vila Madalena,vila-madalena,-23.5464956,-46.6911243,['verde'],Vila Madalena Primeiro ponto do metrô subterrâneo de São Paulo a ser construído através do método cut and cover.
vila-mariana,Vila Mariana,vila-mariana,-23.5891777,-46.6346681,['azul'],Vila Mariana Estação Vila Mariana tem uma das maiores escadas rolantes da América Latina.
vila-matilde,Vila Matilde,vila-matilde,-23.5319166,-46.5308731,['vermelha'],Vila Matilde A estação Vila Matilde é a mais profunda do metrô de São Paulo.
vila-prudente,Vila Prudente,vila-prudente,-23.5845945,-46.5834369,"['prata', 'verde']",Vila Prudente A estação Vila Prudente é conhecida por sua arquitetura inspirada nas estações de metrô de Moscou.
vila-tolstoi,Vila Tolstoi,vila-tolstoi,-23.60090245,-46.5271210452192,['prata'],"Vila Tolstoi Primeira estação subterrânea da Linha 9-Esmeralda, inaugurada em 2002."
vila-uniao,Vila Uniao,vila-uniao,-23.6029664,-46.5155666533518,['prata'],Vila Uniao A estação Vila União foi inaugurada em 2014.
